¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸
¦è°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¦è°Ï¦V¤W¸ô¤@¬q17«Ñ2§Ë1~30¸¹,74.0,¦í,,,10303,¤g¦a1«Øª«1¨®¦ì0,¥þ,004,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0871127,217.64,5,2,4,¦³,µL,17500000,80408,,0.0,0
«n°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥««n°Ï¤j¼yµó¤@¬q211~240¸¹,18.34,¦í,,,10303,¤g¦a2«Øª«1¨®¦ì0,¤@¼h¡AÃM¼Ó¡A§¨¼h,014,©±­±(©±¾Q),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0880702,165.46,0,1,2,¦³,¦³,13400000,80986,,0.0,0
ªF°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«ªF°Ï¿³¤j¸ô1~30¸¹,11.3,¨ä¥L,,,10304,¤g¦a1«Øª«1¨®¦ì0,¤»¼h,013,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0831228,105.33,3,2,1,¦³,¦³,4650000,44147,,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°Ï¤å¤ß¸ô¥|¬q691~720¸¹,12.5,¦í,,,10303,¤g¦a1«Øª«1¨®¦ì1,¤Q¤@¼h,013,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0951017,117.29,3,2,2,¦³,¦³,8580000,73152,©Y¹D¥­­±,0.0,0
¥_¤Ù°Ï,¤g¦a,«CµÓ¬q691~720¦a¸¹,121.0,¦í,,,10304,¤g¦a3«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,6620000,54711,,0.0,0
¥_¤Ù°Ï,¤g¦a,«CµÓ¬q691~720¦a¸¹,25.0,¦í,,,10304,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1380000,55200,,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°Ï±R¼w¤Q¤@¸ô31~60¸¹,19.79,°Ó,,,10303,¤g¦a1«Øª«1¨®¦ì1,¤­¼h,013,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0950516,132.18,2,2,1,¦³,¦³,7500000,56741,©Y¹D¥­­±,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï¤¤¥­¸ô509«Ñ82§Ë1~30¸¹,115.0,¦í,,,10303,¤g¦a1«Øª«1¨®¦ì0,¥þ,003,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0820611,209.81,3,2,2,¦³,µL,17500000,83409,,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï¤Ñ¬z¸ô¥|¬q301~330¸¹,3.58,°Ó,,,10304,¤g¦a1«Øª«2¨®¦ì0,¤Q¤K¼h,024,®M©Ð(1©Ð1ÆU1½Ã),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0840626,53.55,1,0,1,¦³,¦³,2100000,39216,,0.0,0
¥_°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_°Ï¥_¥­¸ô¤G¬q1~30¸¹,31.15,¦í,,,10304,¤g¦a1«Øª«1¨®¦ì1,¤T¼h,005,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0781103,152.97,3,2,2,¦³,¦³,6000000,39223,©Y¹D¥­­±,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï¦ZÉÜ¥_¸ô181~210¸¹,11.89,¦í,,,10303,¤g¦a1«Øª«1¨®¦ì0,¥þ,016,³z¤Ñ­í,¨£¨ä¥¦µn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0871228,124.19999999999999,2,1,2,¦³,¦³,8200000,66023,,0.0,0
¥_°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_°Ï°¢¦è¸ô61~90¸¹,12.4,¦í,,,10303,¤g¦a1«Øª«1¨®¦ì1,¤C¼h,009,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0991223,97.15,2,2,1,¦³,¦³,7400000,76171,©Y¹D¾÷±ñ,0.0,0
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°ÏªF¦¨¤Tµó241~270¸¹,17.7,¦í,,,10304,¤g¦a1«Øª«1¨®¦ì0,¥|¼h,007,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0820806,91.9,3,2,1,¦³,¦³,3550000,38629,,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï²»¶¶¤­µó1~30¸¹,104.12,¦í,,,10212,¤g¦a1«Øª«1¨®¦ì0,¥þ,004,³z¤Ñ­í,¨£¨ä¥¦µn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1021205,212.16,5,3,4,¦³,µL,14800000,69759,,0.0,0
¥_¤Ù°Ï,¤g¦a,¦Pºa¬q1291~1320¦a¸¹,93.0,¦í,,,10304,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,4640000,49892,,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°Ï¤Ó­ì¸ô¤T¬q601~630¸¹,15.24,¦í,,,10304,¤g¦a1«Øª«1¨®¦ì1,¤Q¤­¼h,015,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0980626,149.29,3,2,2,¦³,¦³,7600000,50908,©Y¹D¥­­±,0.0,0
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°Ï¤Ó¥­¸ô61~90¸¹,7.51,¦í,,,10304,¤g¦a1«Øª«1¨®¦ì0,¤C¼h,007,®M©Ð(1©Ð1ÆU1½Ã),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0770617,37.18,1,1,1,¦³,¦³,1000000,26896,,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°Ï¥­¿³¨½¬h¶§ªFµó121~150¸¹,16.22,¦í,,,10304,¤g¦a3«Øª«1¨®¦ì1,¤»¼h,010,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0981030,93.89,2,2,1,¦³,¦³,5900000,62839,©Y¹D¾÷±ñ,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï¤ôÙõ¸ô91~120¸¹,46.14,¦í,,,10303,¤g¦a4«Øª«1¨®¦ì0,¥|¼h,004,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0670306,98.19,3,2,2,¦³,µL,3050000,31062,,0.0,0
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°Ïª÷µØ¨½¤T¥Á¸ô¤T¬q241~270¸¹,2.08,°Ó,,,10304,¤g¦a1«Øª«1¨®¦ì0,¤E¼h,013,®M©Ð(1©Ð1ÆU1½Ã),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0700806,21.240000000000002,1,1,1,¦³,¦³,910000,42844,,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°Ï±R¼w¸ô¤G¬q151~180¸¹,5.98,¦í,,,10304,¤g¦a1«Øª«1¨®¦ì1,¤Q¤»¼h,017,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0990909,88.72999999999999,1,1,1,¦³,¦³,6400000,72129,©Y¹D¥­­±,22.45,0
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°Ï°ê±jµó121~150¸¹,4.36,¦í,,,10304,¤g¦a1«Øª«1¨®¦ì0,¤­¼h,007,®M©Ð(1©Ð1ÆU1½Ã),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0810617,26.82,1,1,1,¦³,¦³,1000000,37286,,0.0,0
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°Ï°·¦æ¸ô766«Ñ59§Ë1~30¸¹,98.8,¦í,,,10303,¤g¦a2«Øª«1¨®¦ì0,¥þ,002,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g¥[±j¿j³y,0591109,85.53,6,0,6,¦³,µL,10200000,119256,,0.0,0
¥_¤Ù°Ï,¤g¦a,©M¥­¬q151~180¦a¸¹,330.86,¦í,,,10304,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,40300000,121804,,0.0,0
¥_¤Ù°Ï,¤g¦a,¥_¤Ù¬q391~420¦a¸¹,77.75,°Ó,,,10304,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1175960,15125,,0.0,0
¥_¤Ù°Ï,¤g¦a,´ºªF¬q271~300¦a¸¹,174.74,¦í,,,10304,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,12686000,72599,,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï´°¤Æ¸ô¤@¬q571~600¸¹,77.53,¦í,,,10302,¤g¦a3«Øª«1¨®¦ì0,¤@¼h¡A¤G¼h¡A¤T¼h¡AÃM¼Ó,019,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í°Ó¥Î,¿ûµ¬²V¾®¤g³y,0791204,759.57,0,0,0,µL,¦³,60000000,78992,,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï³¯¥­¸ô126«Ñ1~30¸¹,72.29,¦í,,,10303,¤g¦a3«Øª«1¨®¦ì0,¥þ,005,³z¤Ñ­í,¦í°Ó¥Î,¿ûµ¬²V¾®¤g³y,0830421,245.94,5,3,4,¦³,µL,12800000,52045,,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï¥_¤Ù¸ô240«Ñ91~120¸¹,7.01,¦í,,,10304,¤g¦a1«Øª«1¨®¦ì0,¤Q¼h,014,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0810627,65.12,2,2,1,¦³,¦³,2620000,40233,,0.0,0
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°ÏÂù¤Q¸ô¤G¬q75«Ñ1~30¸¹,33.15,¦í,,,10303,¤g¦a1«Øª«1¨®¦ì0,¤G¼h,005,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0701104,114.35,3,2,2,¦³,µL,5400000,47223,,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°Ï¤EÀsµó31~60¸¹,22.03,°Ó,,,10303,¤g¦a1«Øª«2¨®¦ì1,¤Q¤@¼h,012,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0811015,148.79000000000002,3,2,2,¦³,¦³,6500000,43686,©Y¹D¥­­±,0.0,0
¥_°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_°Ï¤å©÷ªF¤@µó1~30¸¹,15.33,¦í,,,10303,¤g¦a1«Øª«2¨®¦ì1,¤»¼h,008,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0840608,102.35000000000001,3,2,1,¦³,¦³,5200000,50806,©Y¹D¾÷±ñ,0.0,0
¥_°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_°Ï¤å©÷ªF¤@µó91~120¸¹,9.99,¦í,,,10303,¤g¦a1«Øª«1¨®¦ì1,¤­¼h,014,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0890219,125.88,3,2,2,¦³,¦³,6500000,51636,©Y¹D¥­­±,35.99,0
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°Ïº~¤f«n¤@µó31~60¸¹,81.0,¦í,,,10304,¤g¦a1«Øª«1¨®¦ì0,¥þ,002,³z¤Ñ­í,¦í°Ó¥Î,¥[±j¿j³y,0681030,121.67,3,2,3,¦³,µL,8800000,72327,,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°ÏÂn¶§¸ô¤G¬q151~180¸¹,11.85,¦í,,,10304,¤g¦a1«Øª«1¨®¦ì1,¥|¼h,014,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0961231,110.77,2,2,1,¦³,¦³,8200000,74027,©Y¹D¾÷±ñ,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°Ï¤¤²M¸ô¤G¬q631~660¸¹,16.04,¦í,,,10304,¤g¦a1«Øª«1¨®¦ì1,¤K¼h,016,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0830601,178.82999999999998,4,2,2,¦³,¦³,7800000,43617,©Y¹D¾÷±ñ,0.0,0
¥_°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_°Ï°·¦æ¸ô766«Ñ91~120¸¹,32.38,¦í,,,10303,¤g¦a1«Øª«1¨®¦ì1,¥|¼h¡A¤­¼h,005,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0781114,140.05,4,2,3,¦³,¦³,6350000,45341,©Y¹D¥­­±,0.0,0
¥_°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_°Ï­^¤h¸ô1~30¸¹,14.98,°Ó,,,10303,¤g¦a1«Øª«1¨®¦ì1,¤C¼h,012,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0980902,132.7,2,2,1,¦³,¦³,6800000,51243,©Y¹D¥­­±,0.0,0
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°Ï¤j¼wµó119«Ñ1~30¸¹,19.0,¦í,,,10304,¤g¦a1«Øª«1¨®¦ì0,¤­¼h,005,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0681108,63.82,3,2,1,¦³,µL,2500000,39173,,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï¤å¤ß¸ô¥|¬q661~690¸¹,2.43,°Ó,,,10304,¤g¦a1«Øª«1¨®¦ì0,¤Q¤»¼h,024,®M©Ð(1©Ð1ÆU1½Ã),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0841124,34.18,1,1,1,¦³,¦³,1450000,42422,,0.0,0
